id,team_id,type,created_sthlm,pushed,headline,body_start
8fe2704a-d1f5-4a08-8b46-b0cd2d181288,brighton,news,2026-08-02 00:50:14.754412,t,"Brighton sold striker Danny Welbeck to Chelsea for a reported £5m. He scored 13 Premier League goals last season, including three against Chelsea.","Brighton have sold Danny Welbeck to Chelsea for a reported £5m. He scored 13 league goals for them last season, including three against Chelsea of all clubs. It's decent business for Brighton to sell a 35-year-old, but losing a double-digit scorer will sting. Brighton fans won't love this one."
559ebfbc-000a-4099-861c-537a77810b43,chelsea,news,2026-08-02 00:50:44.24706,t,"Chelsea have signed Danny Welbeck from Brighton for a reported £5m. He scored 13 league goals last season, including three against Chelsea. Confirmed today.","Chelsea have confirmed the signing of Danny Welbeck from Brighton for a reported £5m. He scored 13 league goals last season, including three against Chelsea. At 35, it's a smart, cheap piece of experience. Manager Xabi Alonso (Chelsea boss) has been assembling his squad all summer, and Welbeck is th"
be6d3ada-cf59-4271-b471-ba61c6a13e0d,arsenal,sunday_brief,2026-08-02 11:17:44.502316,t,"Pre-season in full swing for Arsenal: champions, 4-1 win over Girona, and Real Betis at home this week.","Arsenal finished the 2025/26 season as Premier League champions with 85 points, and pre-season is already looking sharp. They beat Girona 4-1 on Saturday, which will have put him in a very good mood. Real Betis come to the Emirates on Wednesday, then Dortmund the following Sunday. Nothing's riding o"
242cd631-4ec8-41e7-b6ea-70bffb14c842,aston_villa,sunday_brief,2026-08-02 11:20:18.093161,t,"Aston Villa are on pre-season tour this week with Bayern Munich on Friday, after finishing fourth and securing Champions League.","Villa finished fourth in the Premier League last season with 65 points, which means Champions League football next year. Pre-season hasn't been smooth on tour though: a 2-4 loss to Real Sociedad last Monday, then a 1-2 defeat to Porto before that. They play BG Pathum United in Thailand on Tuesday, t"
292bfa48-182a-4b97-b3fa-4ebf33641721,bournemouth,sunday_brief,2026-08-02 11:20:27.572895,t,Bournemouth beat Augsburg 5-2 in pre-season and hold sixth place from last season's brilliant campaign.,"Bournemouth had a great 2025/26 season, finishing sixth with 57 points and securing a place in European football next year. Pre-season is going well too: a 5-2 win over FC Augsburg on Wednesday was exactly the kind of result to keep the mood light. This week brings Genoa at home on Tuesday, then Rea"
0860cd61-04fe-4732-a5f2-ad9a5e53aa35,brentford,sunday_brief,2026-08-02 11:20:35.738247,t,Brentford head into pre-season quietly after a solid ninth-place finish last season on 53 points.,"Brentford ended the 2025/26 Premier League season in ninth place with 53 points, a solid if unfussy campaign. Pre-season proper gets going soon: Rennes away next Saturday is the first real outing, then Eintracht Frankfurt at home the week after. Nothing to set the pulse racing just yet, but if he fo"
0da3941d-f55b-4cd3-96d2-0900c25160e2,brighton,sunday_brief,2026-08-02 11:20:44.109179,t,Brighton beat Strasbourg 4-3 in pre-season yesterday and have AS Roma at the Amex this Saturday.,"Brighton had another decent campaign in 2025/26, finishing eighth with 53 points. Pre-season has already produced a proper match: a 4-3 win over Strasbourg on Saturday was an entertaining one if he was watching. This week is relatively quiet, with AS Roma the next fixture at the Amex on Saturday. No"
b0310c43-c5b2-4829-b40f-a4a8b57b65ab,burnley,sunday_brief,2026-08-02 11:20:51.961411,t,"Burnley's Premier League chapter is closed: 19th place and 22 points meant relegation, Championship ahead.","Burnley finished 19th in the Premier League last season with just 22 points, which meant relegation. It was a hard campaign. Pre-season is underway though: they drew 2-2 with Espanyol last Tuesday, and today they host Torino at Turf Moor. The Championship season is ahead, and clubs have bounced back"
9720c590-e01d-4054-9200-799440f5b321,chelsea,sunday_brief,2026-08-02 11:20:59.417257,t,"Chelsea lost to Spurs in pre-season yesterday, but Juventus and AC Milan are coming to Stamford Bridge this week.","Chelsea finished 10th last season with 52 points, which is not where the club aims to be. Pre-season hasn't started brilliantly either: a 1-2 loss to Tottenham on Saturday will have stung, even if it means nothing officially. The good news is Juventus visit Stamford Bridge on Wednesday, then AC Mila"
09e52ec0-572a-42d2-bebd-d9cc068fd432,crystal_palace,sunday_brief,2026-08-02 11:21:06.104254,t,Crystal Palace won 3-1 in pre-season on Thursday and face Fulham in a London friendly this Friday.,"Palace finished 15th last season with 45 points, comfortably clear of trouble. Pre-season has picked up nicely: a 3-1 win over Al Ula on Thursday was a good run-out. This week brings a local flavour: Fulham away on Friday, a London pre-season friendly that always has a bit of edge. Relaxed week for "
