id,team_id,stage,status,duration_ms,message,content_item_id,target,http_status,response_excerpt,error_class,created_utc,created_sthlm
ab649347-5a3a-4b5c-9019-5cb86bc4cb94,arsenal,fetch,success,6102,"Fetched 15 sources, 15 logs stored",,,,,,2026-06-01 06:00:11.527871+00,2026-06-01 08:00:11.527871
d4d4ab8e-f288-4753-bb71-9a0acb8a4501,man_utd,fetch,success,1140,"Fetched 15 sources, 15 logs stored",,,,,,2026-06-01 06:00:12.713401+00,2026-06-01 08:00:12.713401
bbdc87b7-75ce-4a39-ad15-66c35f9e0cba,west_ham,fetch,success,3536,"Fetched 11 sources, 11 logs stored",,,,,,2026-06-01 06:00:16.287242+00,2026-06-01 08:00:16.287242
f87e4581-cfcc-4356-ac0d-452c60f5860d,aston_villa,fetch,success,3874,"Fetched 10 sources, 10 logs stored",,,,,,2026-06-01 06:00:20.189168+00,2026-06-01 08:00:20.189168
82f17dd9-38e2-49b6-a623-4a11d2fd58a8,bournemouth,fetch,success,1236,"Fetched 11 sources, 11 logs stored",,,,,,2026-06-01 06:00:21.452986+00,2026-06-01 08:00:21.452986
1070bc2e-5436-4cbb-a3bf-ca0101ceb7b5,brentford,fetch,success,1959,"Fetched 9 sources, 9 logs stored",,,,,,2026-06-01 06:00:23.43788+00,2026-06-01 08:00:23.43788
bccd804f-2be7-405f-bbc4-153454b912c4,brighton,fetch,success,2349,"Fetched 13 sources, 13 logs stored",,,,,,2026-06-01 06:00:25.809271+00,2026-06-01 08:00:25.809271
1a68ef9c-86ed-4c8c-8b31-2b2a5c597048,chelsea,fetch,success,1814,"Fetched 13 sources, 13 logs stored",,,,,,2026-06-01 06:00:27.64658+00,2026-06-01 08:00:27.64658
bb007ba0-273f-4db4-8c16-7e14ebbeae89,crystal_palace,fetch,success,947,"Fetched 11 sources, 11 logs stored",,,,,,2026-06-01 06:00:28.615638+00,2026-06-01 08:00:28.615638
0e7b51bc-5b01-4413-bf9b-ecc5fd067e3b,everton,fetch,success,878,"Fetched 10 sources, 10 logs stored",,,,,,2026-06-01 06:00:29.516038+00,2026-06-01 08:00:29.516038
0697f98c-a963-4bd1-a8f9-76f3f760545a,fulham,fetch,success,968,"Fetched 9 sources, 9 logs stored",,,,,,2026-06-01 06:00:30.504428+00,2026-06-01 08:00:30.504428
6568c56c-8c29-4ddd-ba52-a0018d029e5c,ipswich,fetch,success,1498,"Fetched 8 sources, 8 logs stored",,,,,,2026-06-01 06:00:32.025965+00,2026-06-01 08:00:32.025965
78219bc5-7dd7-4b4a-afe8-63b21a9914ba,leicester,fetch,success,1363,"Fetched 11 sources, 11 logs stored",,,,,,2026-06-01 06:00:33.411712+00,2026-06-01 08:00:33.411712
136310a5-7d5b-48fd-823b-9b6aed416b92,liverpool,fetch,success,989,"Fetched 15 sources, 15 logs stored",,,,,,2026-06-01 06:00:34.424668+00,2026-06-01 08:00:34.424668
56356695-2a3c-44a8-8ea7-d35cfbfd8092,man_city,fetch,success,1229,"Fetched 14 sources, 14 logs stored",,,,,,2026-06-01 06:00:35.674746+00,2026-06-01 08:00:35.674746
9d27337e-8a81-4419-8582-7cb991b1abe1,newcastle,fetch,success,831,"Fetched 12 sources, 12 logs stored",,,,,,2026-06-01 06:00:36.526745+00,2026-06-01 08:00:36.526745
1d03363d-e8d8-46c4-bdb1-1f757de5c841,nottm_forest,fetch,success,827,"Fetched 10 sources, 10 logs stored",,,,,,2026-06-01 06:00:37.392192+00,2026-06-01 08:00:37.392192
4a11d9d7-5364-4502-ad41-23b67f6ecf6f,southampton,fetch,success,754,"Fetched 9 sources, 9 logs stored",,,,,,2026-06-01 06:00:38.168401+00,2026-06-01 08:00:38.168401
115d82f3-8007-4ee2-a48b-a8b89b479ca1,spurs,fetch,success,691,"Fetched 9 sources, 9 logs stored",,,,,,2026-06-01 06:00:38.882967+00,2026-06-01 08:00:38.882967
10c474c2-a568-4281-a90e-d835d758377f,wolves,fetch,success,747,"Fetched 10 sources, 10 logs stored",,,,,,2026-06-01 06:00:39.650281+00,2026-06-01 08:00:39.650281
1c5aa5cb-b17e-4b3b-bf42-98508e279c47,leeds,fetch,success,614,"Fetched 10 sources, 10 logs stored",,,,,,2026-06-01 06:00:40.285045+00,2026-06-01 08:00:40.285045
e4b3bfc9-2151-41e2-9c47-a1bc59ba57e7,sunderland,fetch,success,777,"Fetched 11 sources, 11 logs stored",,,,,,2026-06-01 06:00:41.082471+00,2026-06-01 08:00:41.082471
61334386-1edd-4fa2-9102-08b77f379953,burnley,fetch,success,574,"Fetched 9 sources, 9 logs stored",,,,,,2026-06-01 06:00:41.676917+00,2026-06-01 08:00:41.676917
